DATAFLOW,LAST UPDATE,FREQ,REF_AREA,TRANSFORMATION,AGG_METHOD,UNIT,REFERENCE,ITEM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,COMMENT,UNIT_MULT
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2010,-1.51977,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2011,0.45027,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2012,0.13623,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2013,-1.10278,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2014,-1.33631,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2015,-1.26746,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2016,-0.5301,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2017,0.40025,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2018,1.55316,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Austria,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2019,2.05495,A,F,(Percentage of potential gross domestic product at constant prices),0
