DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2016,54391.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2017,61691.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2018,69773.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2019,73258.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Spain,2002,199164.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Spain,2003,205612.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Spain,2004,218354.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Spain,2005,231479.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Spain,2006,253088.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Spain,2007,279332.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Spain,2008,284202.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Spain,2009,246631.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Spain,2010,278203.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Spain,2011,314071.0,,
